,response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7,context/8
490,Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.,"HARRY, you're hurt.","Riddle made me, and...","But I swear, I didn't mean to.","HARRY, It was me.",Ginny?,Stop. No!,What are you doing?,"Funny, the damage a silly little book can do especially in the hands of a silly little girl."
491,"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.,"HARRY, you're hurt.","Riddle made me, and...","But I swear, I didn't mean to.","HARRY, It was me.",Ginny?,Stop. No!,What are you doing?
492,I just wasn't quick enough.,"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.,"HARRY, you're hurt.","Riddle made me, and...","But I swear, I didn't mean to.","HARRY, It was me.",Ginny?,Stop. No!
493,Of course.,I just wasn't quick enough.,"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.,"HARRY, you're hurt.","Riddle made me, and...","But I swear, I didn't mean to.","HARRY, It was me.",Ginny?
494,Phoenix tears have healing powers.,Of course.,I just wasn't quick enough.,"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.,"HARRY, you're hurt.","Riddle made me, and...","But I swear, I didn't mean to.","HARRY, It was me."
495,Thanks.,Phoenix tears have healing powers.,Of course.,I just wasn't quick enough.,"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.,"HARRY, you're hurt.","Riddle made me, and...","But I swear, I didn't mean to."
496,"It's all right, Ginny.",Thanks.,Phoenix tears have healing powers.,Of course.,I just wasn't quick enough.,"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.,"HARRY, you're hurt.","Riddle made me, and..."
497,It's over.,"It's all right, Ginny.",Thanks.,Phoenix tears have healing powers.,Of course.,I just wasn't quick enough.,"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.,"HARRY, you're hurt."
498,It's just a memory.,It's over.,"It's all right, Ginny.",Thanks.,Phoenix tears have healing powers.,Of course.,I just wasn't quick enough.,"You were brilliant, Fawkes.",Follow the Chamber and you'll find Ron.,"Ginny, you need to get yourself out.",Don't worry.
499,It's just...,"Am I right, HARRY?",And second I sense that something is troubling you.,Nothing but that could have called Fawkes to you.,You must have shown me real loyalty down in the Chamber.,"HARRY, First, I want to thank you, HARRY.",I believe we want our gamekeeper back.,"Now, Mr. Weasley, if you would have an owl deliver these release papers to Azkaban.","Thanks, sir.","Therefore, it is only fitting that you both receive Special Awards for Services to the School.","Yes, sir."
500,"You see, sir, I couldn't help but notice certain things, certain...",It's just...,"Am I right, HARRY?",And second I sense that something is troubling you.,Nothing but that could have called Fawkes to you.,You must have shown me real loyalty down in the Chamber.,"HARRY, First, I want to thank you, HARRY.",I believe we want our gamekeeper back.,"Now, Mr. Weasley, if you would have an owl deliver these release papers to Azkaban.","Thanks, sir.","Therefore, it is only fitting that you both receive Special Awards for Services to the School."
501,Certain similarities between Tom Riddle and me.,"You see, sir, I couldn't help but notice certain things, certain...",It's just...,"Am I right, HARRY?",And second I sense that something is troubling you.,Nothing but that could have called Fawkes to you.,You must have shown me real loyalty down in the Chamber.,"HARRY, First, I want to thank you, HARRY.",I believe we want our gamekeeper back.,"Now, Mr. Weasley, if you would have an owl deliver these release papers to Azkaban.","Thanks, sir."
502,Voldemort transferred some of his powers to me?,"If I'm not mistaken, HARRY he transferred some of his powers to you the night he gave you that scar.",Because Lord Voldemort can speak Parseltongue.,"Well, you can speak Parseltongue, HARRY. Why?",I see.,Certain similarities between Tom Riddle and me.,"You see, sir, I couldn't help but notice certain things, certain...",It's just...,"Am I right, HARRY?",And second I sense that something is troubling you.,Nothing but that could have called Fawkes to you.
503,So the Sorting Hat was right.,Not intentionally but yes.,Voldemort transferred some of his powers to me?,"If I'm not mistaken, HARRY he transferred some of his powers to you the night he gave you that scar.",Because Lord Voldemort can speak Parseltongue.,"Well, you can speak Parseltongue, HARRY. Why?",I see.,Certain similarities between Tom Riddle and me.,"You see, sir, I couldn't help but notice certain things, certain...",It's just...,"Am I right, HARRY?"
504,I should be in Slytherin.,So the Sorting Hat was right.,Not intentionally but yes.,Voldemort transferred some of his powers to me?,"If I'm not mistaken, HARRY he transferred some of his powers to you the night he gave you that scar.",Because Lord Voldemort can speak Parseltongue.,"Well, you can speak Parseltongue, HARRY. Why?",I see.,Certain similarities between Tom Riddle and me.,"You see, sir, I couldn't help but notice certain things, certain...",It's just...
505,Because I asked it to.,"Why, then, did the Sorting Hat place you in Gryffindor?","Determination, resourcefulness and if I may say so, a certain disregard for the rules.",It's true. You possess many of the qualities that Voldemort himself prizes.,I should be in Slytherin.,So the Sorting Hat was right.,Not intentionally but yes.,Voldemort transferred some of his powers to me?,"If I'm not mistaken, HARRY he transferred some of his powers to you the night he gave you that scar.",Because Lord Voldemort can speak Parseltongue.,"Well, you can speak Parseltongue, HARRY. Why?"
506,Godric Gryffindor.,Be careful.,If you want proof why you belong in Gryffindor then I suggest you look more closely at this.,It is our choices.,It is not our abilities that show what we truly are.,Which makes you different from Voldemort.,"Exactly, HARRY. Exactly.",Because I asked it to.,"Why, then, did the Sorting Hat place you in Gryffindor?","Determination, resourcefulness and if I may say so, a certain disregard for the rules.",It's true. You possess many of the qualities that Voldemort himself prizes.
507,Dobby.,It would take a true Gryffindor to pull that out of the hat.,Godric Gryffindor.,Be careful.,If you want proof why you belong in Gryffindor then I suggest you look more closely at this.,It is our choices.,It is not our abilities that show what we truly are.,Which makes you different from Voldemort.,"Exactly, HARRY. Exactly.",Because I asked it to.,"Why, then, did the Sorting Hat place you in Gryffindor?"
508,So this is your master.,Dobby.,It would take a true Gryffindor to pull that out of the hat.,Godric Gryffindor.,Be careful.,If you want proof why you belong in Gryffindor then I suggest you look more closely at this.,It is our choices.,It is not our abilities that show what we truly are.,Which makes you different from Voldemort.,"Exactly, HARRY. Exactly.",Because I asked it to.
509,The family you serve is the Malfoys.,So this is your master.,Dobby.,It would take a true Gryffindor to pull that out of the hat.,Godric Gryffindor.,Be careful.,If you want proof why you belong in Gryffindor then I suggest you look more closely at this.,It is our choices.,It is not our abilities that show what we truly are.,Which makes you different from Voldemort.,"Exactly, HARRY. Exactly."
510,Don't worry. I will be.,"Well, let us hope that Mr. Potter will always be around to save the day.",The consequences for the one responsible would be severe.,One hopes that no more of Lord Voldemort's old school-things should find their way into innocent hands.,"Fortunately, our young Mr. Potter discovered it.",I see.,Only this time he chose to act through somebody else by means of this.,Voldemort.,Who was it?,And?,Yes.
511,Sir? I wonder if I could have that?,"Come, Dobby. We're leaving.",Dumbledore.,Don't worry. I will be.,"Well, let us hope that Mr. Potter will always be around to save the day.",The consequences for the one responsible would be severe.,One hopes that no more of Lord Voldemort's old school-things should find their way into innocent hands.,"Fortunately, our young Mr. Potter discovered it.",I see.,Only this time he chose to act through somebody else by means of this.,Voldemort.
512,Mr. Malfoy.,Sir? I wonder if I could have that?,"Come, Dobby. We're leaving.",Dumbledore.,Don't worry. I will be.,"Well, let us hope that Mr. Potter will always be around to save the day.",The consequences for the one responsible would be severe.,One hopes that no more of Lord Voldemort's old school-things should find their way into innocent hands.,"Fortunately, our young Mr. Potter discovered it.",I see.,Only this time he chose to act through somebody else by means of this.
